"Forename","Surname","Email","University","Course"
"Lukas","Rogahn","Gage.Willms@ruben.me","SKEMA Business School","LLM Laws"
"Wilhelmine","Funk","Daphne@darryl.biz","Imperial College London","Product Design"
"Jude","Nader","Payton@rupert.org","Moscow State Technical University","Legal/Law"
"Frankie","Stroman","Saul@gia.name","Stirling, University of","English Law And German Law"
"Mina","Jaskolski","Amos_Effertz@jennie.info","Parahyangan University","Open Degree"
"Mack","Zieme","Martin@isabelle.com","New York University","Retail/Merchandising"
"Celestine","Tromp","Loy@evalyn.us","PACE University","Business And Management"
"Zella","Nitzsche","Bridgette@gordon.us","UHI Millennium Institute","Biology"
"Ila","Kuphal","Terrance.Rowe@mario.co.uk","Winchester, University of","Banking/Finance"
"Eda","Cruickshank","Abelardo@elza.ca","University of St. La Salle - Bacolod","Medicine"
"Jaylen","Koepp","Norbert@kristian.io","Nottingham Trent University","German And History"
"Kristina","Kohler","Aidan@nona.name","University of the Philippines - Pampanga","Human Resources"
"Sean","Ondricka","Kristin.Rolfson@madelyn.tv","University of KwaZulu Natal","Biological Sciences"
"Estelle","Leuschke","Chauncey.Hoeger@jeramie.tv","Malaysia University of Science and Technology","Bachelor Of Computer Science Engineering"
"Roselyn","Funk","Korbin@hallie.io","City University of Hong Kong","Computer And Systems Engineering"
"Kariane","Romaguera","Jocelyn_Fadel@lauryn.com","University of South Australia","Accountancy"
"Adrian","Nitzsche","Markus.Gulgowski@nicolas.tv","Moscow State Technical University","Legal/Law"
"Maggie","Windler","Shayna.Lesch@donny.io","Universita degli Studi di Padova","Chemical Engineering"
"Ken","Blanda","Modesta_Aufderhar@belle.co.uk","Lebanese American University","Software Engineering"
"Antone","Reilly","Ford@garfield.name","Indian Institute of Management, Indore","Physics"
"Yadira","Cassin","Anastacio@murray.net","Universita degli Studi di Firenze","Civil Engineering"
"Marge","Macejkovic","Retha@griffin.me","Middlebury College","Engineering"
"Rogers","Feest","Keshawn_Kuvalis@orlando.name","University of Nurtingen","English"
"Candelario","Fadel","Kailee_Casper@reina.me","The Grimsby Institute of Further & Higher Education","Law LLB"
"Eldridge","Shields","Rachel_Block@olin.info","University of St. La Salle - Bacolod","Medicine"
"Lavina","Romaguera","Cathrine@virgie.us","UAM University","LLM Tax Law"
"Matt","Hessel","Skyla@gonzalo.net","Lodz University","Environment, Society And Development"
"Barrett","Donnelly","Sheila.Abshire@david.io","Sauder School of Business","English Literature"
"Betty","Hagenes","Linda@monte.me","US Military Acedemy","Pharmaceutical"
"Alphonso","Schmeler","Raphael_Senger@vernon.biz","Aberdeen, University of","LLB Law With European Law"
"Selmer","Shields","Michelle.Rice@pat.me","Ealing & West London College","Art"
"Earl","Kemmer","Terry.Rau@brennan.com","Hofstra University","Law (M100)"
"Sharon","Kunde","Julius@isabell.io","XLRI, Jamshedpur","MSc Social Cognition"
"Jeffry","Jacobs","Juliana.Stanton@magnolia.ca","Brooklyn College","Property/Real Estate"
"Eliane","Ritchie","Kaleigh.Durgan@verner.us","Universidad Panamericana","Law With Criminology"
"Howard","Erdman","Arthur_Stroman@quinn.com","University of the Philippines - Diliman","MSc International Politics"
"Lance","Schimmel","Dovie.Williamson@alycia.org","Bandung Institute of Technology","International Commercial & Maritime Law"
"Elliott","Tillman","Bethel@jess.com","LUISS (Libera Universita Internazionale degli Studi Sociali)","Social Work"
"Emanuel","Boyle","Claude@brent.us","Deakin University","Digital Forensics"
"Norma","Feest","Abdullah.Terry@leonardo.net","Xi'an Jiaotong university","European Studies (Politics, History, French, Italian)"
"Jenifer","O'Conner","Virgie@robert.name","Malaysia University of Science and Technology","Bachelor Of Computer Science Engineering"
"Lilliana","Towne","Henri@breana.org","American University of Kuwait","Politics"
"Verner","Padberg","Florencio@barney.com","Schiller University","Sport/Sports Management"
"Adelia","Stiedemann","Jessika.Nader@glennie.name","Miriam College","Business And HR Management"
"Tristin","Turcotte","Joyce_Jaskolski@emmalee.name","Cardiff University","LLM In Banking And Finance"
"Cooper","Pouros","Chase_Kub@emely.us","Hankuk University of Foreign Studies","Auditing/Tax"
"Judy","Romaguera","Charlotte@earl.info","Trinity College Carmarthen","Philosophy, Politics And Economics"
"Maxie","Tremblay","Annamae.Upton@roma.biz","Aberdeen, University of","LLB Law With European Law"
"Akeem","Barrows","Wellington@mara.ca","BPP","LAW AND INTERNATIONAL RELATIONS"
"Florencio","Funk","Kenna@vicky.us","Brooklyn College","Property/Real Estate"
"Margarita","Welch","Wellington_Cormier@novella.tv","Middlebury College","Engineering"
"Helmer","Legros","Ubaldo@bessie.us","Mahidol University","Law With Politics LLB"
"Carole","Labadie","Josh@kelvin.io","Universita Cattolica di Milano","Food And Drink"
"Desiree","Klein","Isidro_Homenick@jerald.biz","Saint Mary's College of Meycauayan","Law And European Law (Qualifying Year Abroad In English)"
"Eloy","Kuvalis","Annabelle_Okuneva@christelle.com","University College Birmingham","BA Economics"
"Lucinda","Macejkovic","Ada_Wuckert@kirk.us","Dundee College","Environmental"
"Emilia","Bosco","Yasmin@darwin.us","Sauder School of Business","English Literature"
